timestamp,balance,open_positions,total_trades,winning_trades,losing_trades,realized_pnl
2025-12-12T03:28:38.782609,10000.0,0,0,0,0,0.0
2025-12-12T03:29:30.979609,9500.0,1,1,0,0,0.0
2025-12-12T03:35:10.953247,9025.0,2,2,0,0,0.0
2025-12-12T04:04:06.419305,8573.75,3,3,0,0,0.0
2025-12-12T04:09:53.381568,8145.0625,4,4,0,0,0.0
2025-12-12T04:20:36.537953,7737.809375,5,5,0,0,0.0
2025-12-12T04:26:16.783421,7350.91890625,6,6,0,0,0.0
2025-12-12T04:37:00.100652,6983.3729609375,7,7,0,0,0.0
2025-12-12T04:37:00.130990,6634.204312890624,8,8,0,0,0.0
2025-12-12T04:42:43.106855,6302.494097246094,9,9,0,0,0.0
2025-12-12T04:42:43.114133,5987.369392383789,10,10,0,0,0.0
