timestamp,balance,open_positions,total_trades,winning_trades,losing_trades,realized_pnl,total_edge_captured
2025-12-12T03:29:19.501020,10000.0,0,0,0,0,0.0,0.0
2025-12-12T04:11:27.019115,9500.0,1,1,0,0,0.0,0.0
2025-12-12T05:39:40.910155,9025.0,2,2,0,0,0.0,0.0
2025-12-12T05:57:26.793018,8573.75,3,3,0,0,0.0,0.0
2025-12-12T06:15:07.362934,8145.0625,4,4,0,0,0.0,0.0
2025-12-12T06:15:07.371413,7737.809375,5,5,0,0,0.0,0.0
2025-12-12T06:15:07.379328,7350.91890625,6,6,0,0,0.0,0.0
2025-12-12T06:50:09.155999,6983.3729609375,7,7,0,0,0.0,0.0
2025-12-12T07:13:48.507028,6634.204312890624,8,8,0,0,0.0,0.0
2025-12-12T07:49:23.674168,6302.494097246094,9,9,0,0,0.0,0.0
2025-12-12T08:07:57.633365,5987.369392383789,10,10,0,0,0.0,0.0
